filepaths,labels,data set
train/ADONIS/01.jpg,ADONIS,train
train/ADONIS/02.jpg,ADONIS,train
train/ADONIS/03.jpg,ADONIS,train
train/ADONIS/04.jpg,ADONIS,train
train/ADONIS/05.jpg,ADONIS,train
train/ADONIS/06.jpg,ADONIS,train
train/ADONIS/07.jpg,ADONIS,train
train/ADONIS/08.jpg,ADONIS,train
train/ADONIS/09.jpg,ADONIS,train
train/ADONIS/10.jpg,ADONIS,train
train/ADONIS/100.jpg,ADONIS,train
train/ADONIS/101.jpg,ADONIS,train
train/ADONIS/102.jpg,ADONIS,train
train/ADONIS/103.jpg,ADONIS,train
train/ADONIS/104.jpg,ADONIS,train
train/ADONIS/105.jpg,ADONIS,train
train/ADONIS/106.jpg,ADONIS,train
train/ADONIS/107.jpg,ADONIS,train
train/ADONIS/108.jpg,ADONIS,train
train/ADONIS/109.jpg,ADONIS,train
train/ADONIS/11.jpg,ADONIS,train
train/ADONIS/110.jpg,ADONIS,train
train/ADONIS/111.jpg,ADONIS,train
train/ADONIS/112.jpg,ADONIS,train
train/ADONIS/113.jpg,ADONIS,train
train/ADONIS/114.jpg,ADONIS,train
train/ADONIS/115.jpg,ADONIS,train
train/ADONIS/116.jpg,ADONIS,train
train/ADONIS/117.jpg,ADONIS,train
train/ADONIS/118.jpg,ADONIS,train
train/ADONIS/119.jpg,ADONIS,train
train/ADONIS/12.jpg,ADONIS,train
train/ADONIS/120.jpg,ADONIS,train
train/ADONIS/121.jpg,ADONIS,train
train/ADONIS/122.jpg,ADONIS,train
train/ADONIS/123.jpg,ADONIS,train
train/ADONIS/124.jpg,ADONIS,train
train/ADONIS/125.jpg,ADONIS,train
train/ADONIS/126.jpg,ADONIS,train
train/ADONIS/127.jpg,ADONIS,train
train/ADONIS/13.jpg,ADONIS,train
train/ADONIS/14.jpg,ADONIS,train
train/ADONIS/15.jpg,ADONIS,train
train/ADONIS/16.jpg,ADONIS,train
train/ADONIS/17.jpg,ADONIS,train
train/ADONIS/18.jpg,ADONIS,train
train/ADONIS/19.jpg,ADONIS,train
train/ADONIS/20.jpg,ADONIS,train
train/ADONIS/21.jpg,ADONIS,train
train/ADONIS/23.jpg,ADONIS,train
train/ADONIS/24.jpg,ADONIS,train
train/ADONIS/25.jpg,ADONIS,train
train/ADONIS/26.jpg,ADONIS,train
train/ADONIS/27.jpg,ADONIS,train
train/ADONIS/28.jpg,ADONIS,train
train/ADONIS/29.jpg,ADONIS,train
train/ADONIS/30.jpg,ADONIS,train
train/ADONIS/31.jpg,ADONIS,train
train/ADONIS/32.jpg,ADONIS,train
train/ADONIS/33.jpg,ADONIS,train
train/ADONIS/34.jpg,ADONIS,train
train/ADONIS/35.jpg,ADONIS,train
train/ADONIS/36.jpg,ADONIS,train
train/ADONIS/37.jpg,ADONIS,train
train/ADONIS/38.jpg,ADONIS,train
train/ADONIS/39.jpg,ADONIS,train
train/ADONIS/40.jpg,ADONIS,train
train/ADONIS/41.jpg,ADONIS,train
train/ADONIS/42.jpg,ADONIS,train
train/ADONIS/43.jpg,ADONIS,train
train/ADONIS/44.jpg,ADONIS,train
train/ADONIS/45.jpg,ADONIS,train
train/ADONIS/46.jpg,ADONIS,train
train/ADONIS/47.jpg,ADONIS,train
train/ADONIS/48.jpg,ADONIS,train
train/ADONIS/49.jpg,ADONIS,train
train/ADONIS/50.jpg,ADONIS,train
train/ADONIS/51.jpg,ADONIS,train
train/ADONIS/52.jpg,ADONIS,train
train/ADONIS/53.jpg,ADONIS,train
train/ADONIS/54.jpg,ADONIS,train
train/ADONIS/55.jpg,ADONIS,train
train/ADONIS/56.jpg,ADONIS,train
train/ADONIS/57.jpg,ADONIS,train
train/ADONIS/58.jpg,ADONIS,train
train/ADONIS/59.jpg,ADONIS,train
train/ADONIS/60.jpg,ADONIS,train
train/ADONIS/61.jpg,ADONIS,train
train/ADONIS/62.jpg,ADONIS,train
train/ADONIS/63.jpg,ADONIS,train
train/ADONIS/64.jpg,ADONIS,train
train/ADONIS/65.jpg,ADONIS,train
train/ADONIS/66.jpg,ADONIS,train
train/ADONIS/67.jpg,ADONIS,train
train/ADONIS/68.jpg,ADONIS,train
train/ADONIS/69.jpg,ADONIS,train
train/ADONIS/70.jpg,ADONIS,train
train/ADONIS/71.jpg,ADONIS,train
train/ADONIS/72.jpg,ADONIS,train
train/ADONIS/73.jpg,ADONIS,train
train/ADONIS/74.jpg,ADONIS,train
